#{"t_start": 1683883831.7376928, "env_id": null}
r,l,t
0.507097,23,85.321764
-0.261326,30,85.386824
-1.279799,38,85.464973
-1.151458,35,85.535237
-1.699555,52,85.643713
-0.15655,36,85.774476
-0.379053,23,85.826314
-0.560892,23,85.8768
0.383884,34,85.952262
-1.293371,33,86.021238
-1.068067,26,86.075717
-1.339186,17,86.1123
-1.48907,17,86.149214
-0.003868,12,86.175075
-1.2,15,86.207942
0.255936,18,86.247625
-0.164513,37,86.331822
-1.200933,43,86.4522
-1.590858,16,86.488796
-0.646458,7,86.504382
-0.789184,46,86.60835
-1.753627,99,86.829991
-0.499095,35,86.906181
-1.499005,22,86.955841
-1.226465,30,87.020327
-0.54038,12,87.047008
0.080416,64,89.823564
-0.279378,16,89.858206
-1.816162,43,89.9498
-0.18326,19,89.988522
-1.106398,19,90.029228
-0.390279,28,90.090179
-0.3811,70,90.235063
-0.733106,14,90.265143
-1.159526,19,90.307473
-2.169476,75,90.465508
-2.249098,78,90.682359
-1.237038,37,90.765547
-1.155524,16,90.800596
-1.288241,33,90.865571
-0.873323,9,90.884779
-0.456549,25,90.936387
-1.424323,101,91.142886
0.038114,16,91.208517
-0.273533,19,91.253763
-0.483769,13,91.282504
-1.1,19,91.327763
-0.250892,39,91.409435
0.393549,71,91.620164
-1.005889,15,91.652614
-0.639117,13,91.679861
-0.903471,55,91.794169
-1.29976,18,91.859595
-1.566519,50,91.966881
-0.758708,20,92.008266
-0.903647,12,92.033308
-1.900161,39,92.113085
-1.2,19,92.152215
-1.220344,39,92.234498
-0.030952,21,92.279359
-0.254668,66,92.418654
-1.098831,41,92.504806
-1.028598,32,92.572614
-1.02221,25,92.627982
-0.674772,10,92.649739
-1.52708,23,92.6976
-1.424456,31,92.764428
-1.199996,16,92.800817
-1.1,13,92.827519
-1.075673,36,92.956441
-0.210341,11,92.979753
-1.034428,54,93.09797
-1.772246,95,93.297826
-1.435479,21,93.345497
-0.937662,23,93.395071
-1.360949,9,93.415296
-0.955469,13,93.444961
-1.488478,34,93.526479
-0.618386,18,93.567227
-0.718239,33,93.64045
-1.583442,64,93.777695
-0.316819,26,93.835208
-0.111807,12,93.861659
-0.885988,23,93.911103
-0.883736,21,93.960616
0.159796,92,94.161714
-1.6e-05,11,94.186035
-0.980089,8,94.203916
-1.199885,24,94.254464
-0.383793,13,94.283678
-1,9,94.306613
-0.57336,47,97.034368
-0.682412,10,97.055056
-0.566354,24,97.105717
-1.570847,27,97.160708
-1.331893,71,97.316329
-0.406995,33,97.382538
-0.712166,14,97.413002
0.645075,38,97.49458
0.089974,37,97.582973
-1.406691,17,97.617144
-1.099962,21,97.658237
-1.057904,35,97.730556
-1.058279,118,98.028278
-0.102191,21,98.072012
0.35893,23,98.122307
-0.827373,11,98.146915
-1,7,98.173961
-0.34909,31,98.247756
-0.432443,35,98.331663
-1.4,19,98.37363
-1.550457,17,98.410322
-0.299856,29,98.473937
-1.43035,69,98.645358
-0.392928,18,98.685269
-0.64287,27,98.747837
0.115522,83,98.947614
-1.24636,24,98.998785
0.463756,28,99.062193
-1.087166,27,99.116055
0.124853,9,99.134696
-0.850969,15,99.16615
-1.042378,57,99.289639
-0.941133,29,99.352921
-0.353731,8,99.370775
-1.268052,29,99.431709
-0.265557,26,99.487748
-1.069407,12,99.512693
-1.775933,51,99.619911
-1.098068,13,99.647741
-1.3,23,99.694948
-1.308758,41,99.778352
-1.310774,14,99.808531
-0.205665,29,99.876798
-0.692989,16,99.910251
-0.553737,16,99.945768
-0.755915,15,99.98151
-1.488659,17,100.044842
-0.817986,25,100.114408
0.144741,20,100.163034
-0.573492,37,100.239729
-1.198554,21,100.287979
-0.533342,36,100.370215
-1.299748,43,100.462716
-1.518645,50,100.569158
-0.294266,34,100.644386
-1.227069,44,100.740678
-0.977792,34,100.817625
-1.314189,42,100.909965
-0.88357,19,100.951245
-1,15,100.983444
-1.4,12,101.010096
-0.206966,84,101.196435
-1.369273,15,101.231163
-1.1,22,101.285309
-1.374906,34,101.367444
-0.899944,18,101.406241
-0.834698,8,101.431052
-0.542781,19,101.484152
-0.90691,26,101.5411
-0.394983,65,104.277711
0.448945,126,104.543138
-0.916895,34,104.621633
-0.714432,36,104.696459
-0.231261,23,104.742961
-0.937432,16,104.776263
-1.433187,26,104.833008
-0.864997,29,104.943721
-0.512951,36,105.023102
-1.161063,59,105.159459
-0.71684,37,105.248528
-1.1,22,105.312831
-0.958723,19,105.353777
-0.813679,15,105.38973
-1.045549,12,105.432703
-0.815691,45,105.531676
-1.189578,12,105.556849
-1.037365,66,105.700924
-1.085652,12,105.729751
-1.20764,24,105.786565
1.114833,26,105.861387
-1,9,105.880693
-1.106897,17,105.917025
-1.445978,26,105.971201
-1.20498,32,106.036795
-0.655844,15,106.064306
-1.384613,43,106.152141
-0.856972,23,106.198664
-1.222394,67,106.350262
-0.894719,12,106.388986
-2.393472,74,106.566853
-1.099022,23,106.614963
-1.367664,26,106.668579
-1.587582,54,106.782788
-0.665103,17,106.822972
-0.927416,13,106.85118
-1.2,29,106.913374
-1.927236,57,107.033745
-0.947695,31,107.101069
-1.898024,84,107.317372
-0.888764,9,107.336997
-1,23,107.385806
-0.619046,50,107.493299
-0.954546,46,107.610416
-1.186971,12,107.636853
-0.334113,49,107.744398
-0.544774,28,107.807624
-1,6,107.820631
-1.033016,28,107.882341
-1.051225,24,107.934645
-1.118583,35,108.010647
-1.253495,48,108.115007
-1.481369,25,108.169313
-3.120991,99,108.397607
-1.261899,17,108.435453
-0.295558,24,108.488155
-0.752885,30,108.552693
-1.647778,58,108.681737
-1.298535,8,108.699956
-1.499946,13,108.728662
-0.725343,16,108.763424
-0.870904,29,111.396314
0.816259,46,111.502258
-1,15,111.531931
-0.789029,57,111.647688
-1.005889,7,111.663259
-1,27,111.719411
-1.144961,40,111.810307
-0.8907,19,111.849343
-1.074714,15,111.878403
0.002866,46,111.983004
0.211002,35,112.067989
-0.282371,15,112.099052
1.437206,95,112.327769
-1.392961,35,112.428234
-0.950576,33,112.498827
-0.775593,16,112.529992
-1,24,112.580137
-0.834299,7,112.59419
-1.34654,37,112.67243
-0.355693,34,112.751128
-1.385499,11,112.777122
-1.394652,25,112.854176
-0.677834,13,112.881026
-1.369145,30,112.943003
-0.984783,28,113.001605
-1.129075,26,113.051662
-0.611922,28,113.10617
-1.479536,37,113.182956
-1.365953,51,113.292553
-1.600826,74,113.450964
-0.788894,46,113.553448
-0.424619,37,113.629385
-0.412165,111,113.860155
-0.220713,39,113.943351
-0.291929,50,114.047477
0.012203,43,114.134859
-1.3,23,114.189017
-1.1,13,114.238582
-1.179345,37,114.330828
-1.075561,48,114.433181
-0.775957,35,114.521308
-0.218786,16,114.55689
-1.125472,43,114.649639
0.504448,45,114.748993
-1.192732,20,114.795114
-1.2,18,114.835701
-0.661032,27,114.894627
-0.537535,23,114.944882
-0.729604,25,114.999424
-1,25,115.054845
-0.414573,28,115.116379
-0.752554,23,115.167254
0.058865,69,115.326916
-1.222819,30,115.397403
-0.018727,29,115.459783
-0.618286,30,115.52411
-1,7,115.539409
-0.290656,32,115.607425
-1,18,115.646642
-1.252057,30,115.711697
1.375622,21,115.758498
-1,17,115.797032
-0.932989,25,115.852362
-1.1,19,115.893404
-0.449034,16,118.490872
0.928494,15,118.520265
-0.344123,37,118.59521
-1.189464,30,118.658668
-0.286594,20,118.700969
-1.599125,36,118.782738
-0.184618,24,118.83372
-1.561674,43,118.925724
-0.434317,39,119.027461
-1.01238,39,119.138404
-0.483857,25,119.20983
-0.831071,33,119.280677
-0.473081,16,119.316262
-0.133506,24,119.389296
-1.4,27,119.447125
-0.423462,28,119.506738
-1.090618,86,119.68623
-0.089276,41,119.784923
-0.486982,19,119.834886
-0.9052,72,119.988924
-0.193864,29,120.052301
-1.099537,30,120.112981
-1,15,120.142758
-1.211324,22,120.189488
-0.929101,24,120.245137
-0.377481,106,120.4673
-0.879671,25,120.517897
-0.546554,41,120.601821
-1.585936,43,120.690307
-0.206626,29,120.748928
-0.943787,56,120.87901
0.252404,23,120.926315
-1.231355,40,121.006909
-1.099998,16,121.041663
-1.1,8,121.05821
-0.084308,49,121.156204
0.644277,100,121.471921
-0.862602,99,121.67087
-0.886346,61,121.806381
0.137364,28,121.871155
0.572233,44,121.966829
-1.315368,32,122.037877
-0.247548,25,122.092041
-0.376472,103,122.316193
-0.016088,40,122.40351
-1.199558,19,122.445659
-0.310155,59,122.574634
-1.299999,22,122.624691
1.090281,44,122.721201
-0.099671,22,122.768595
-1.3,23,122.820818
-1.1,30,122.897865
0.39195,46,122.997551
-0.505708,53,125.724617
-1,16,125.758859
-0.686033,13,125.790035
-1.352702,37,125.869778
-0.319693,58,125.994986
-1.2,25,126.057803
-1,9,126.08673
-0.646478,15,126.171249
-1.461751,46,126.274431
-0.42213,47,126.427678
-1.199064,19,126.471677
-1.3,20,126.511507
-0.042371,45,126.614217
0.157429,75,126.772201
-1.099263,37,126.893891
-1.034401,51,127.002843
0.045491,194,127.406679
-1.55508,53,127.5162
-0.930279,35,127.587903
0.319458,75,127.750813
-1.1,15,127.78586
1.225119,38,127.867576
-1.366764,27,127.927095
0.471456,45,128.020263
-0.71622,41,128.10549
-1.083612,48,128.206709
-1.261966,27,128.260165
-0.031886,29,128.325474
-0.720977,32,128.459893
0.190569,161,128.808596
-1.199715,32,128.8812
-0.915924,18,128.922097
-0.345741,32,128.990526
0.129796,87,129.179865
-1.266914,20,129.223883
-0.614741,12,129.249868
-1.356686,64,129.398933
-1.499998,32,129.469559
-1.098331,12,129.501451
-1.2,6,129.515655
-1.420967,39,129.602219
-1.197246,63,129.73794
-0.566611,30,129.803059
-1,16,129.838491
-1,15,129.879785
-1.792217,46,129.978943
-0.930769,10,130.00147
-0.46897,43,130.096284
